% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 17 2017, 11:47
% Table:              Table 2 - Capacitance (emi.C11)
% mesh_ly                Tb (degC)                Maxwell capacitance, 11 component (fF)
1                        -10                      3.7549453026928874
1                        0                        4.03326448946823
1                        10                       4.392714834000436
1                        20                       4.882241258902367
1                        30                       5.615375480133399
1                        40                       7.060036850521775
2                        -10                      3.532917923726175
2                        0                        3.812216991451798
2                        10                       4.178745257732684
2                        20                       4.684735492566231
2                        30                       5.432686554893247
2                        40                       6.895987830650647
3                        -10                      3.4626957766520126
3                        0                        3.742189343006647
3                        10                       4.111136302061747
3                        20                       4.624003663178895
3                        30                       5.373369287775915
3                        40                       6.827992026438881
4                        -10                      3.426370871808317
4                        0                        3.705821394272279
4                        10                       4.076134240447258
4                        20                       4.5940482133298
4                        30                       5.3448000636220625
4                        40                       6.792764412885646
5                        -10                      3.406561795629184
5                        0                        3.685676518474692
5                        10                       4.056335959211635
5                        20                       4.576653514757161
5                        30                       5.325779945140913
5                        40                       6.767651503985955
