% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 17 2017, 14:25
% Table:              Table 2 - Capacitance (emi.C11)
% mesh_ly                Tb (degC)                Maxwell capacitance, 11 component (fF)
1                        -10                      3.7549452913260843
1                        0                        4.033266918515357
1                        10                       4.392714811220939
1                        20                       4.882247179813319
1                        30                       5.615387606652492
1                        40                       7.059983199051062
2                        -10                      3.532917923626379
2                        0                        3.8122169605697978
2                        10                       4.17874522459289
2                        20                       4.684735503551835
2                        30                       5.432686555004881
2                        40                       6.895990201897998
3                        -10                      3.4626957763496202
3                        0                        3.7421893583230434
3                        10                       4.111136290582738
3                        20                       4.624003673300681
3                        30                       5.373369287707596
3                        40                       6.8279921175131735
4                        -10                      3.426370871673598
4                        0                        3.7058213975236813
4                        10                       4.076134243673835
4                        20                       4.594048211214484
4                        30                       5.344800164651259
4                        40                       6.792764451736771
5                        -10                      3.406561795549864
5                        0                        3.6856765113577925
5                        10                       4.056335960731074
5                        20                       4.576653526358826
5                        30                       5.325779945207747
5                        40                       6.7676515037726785
6                        -10                      3.393446164149446
6                        0                        3.672256116681508
6                        10                       4.043062758827025
6                        20                       4.5651452335065805
6                        30                       5.313219998401033
6                        40                       6.748686843608394
