% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 17 2017, 14:24
% Table:              Table 1 - Vertical displacement (w)
% mesh_ly                Tb (degC)                Displacement field, Z component (µm), Point: 19
1                        -10                      11.2968528057504
1                        0                        7.530321814012986
1                        10                       3.7633375697843596
1                        20                       -0.003135086678560869
1                        30                       -3.768051163991392
1                        40                       -7.531412689956295
2                        -10                      11.404990499182002
2                        0                        7.603570145651025
2                        10                       3.8005013034546575
2                        20                       -0.0025940185317575248
2                        30                       -3.805711272216937
2                        40                       -7.608191675266228
3                        -10                      11.42703430898754
3                        0                        7.6177637213288145
3                        10                       3.8073265164735965
3                        20                       -0.003186601501949739
3                        30                       -3.8133408062871657
3                        40                       -7.6230720300628985
4                        -10                      11.450577503447263
4                        0                        7.633367989381459
4                        10                       3.815062067058185
4                        20                       -0.003342244123633757
4                        30                       -3.8235046237838066
4                        40                       -7.637539666971941
5                        -10                      11.453997174713388
5                        0                        7.635624514083209
5                        10                       3.8161646344857245
5                        20                       -0.0034028828382898593
5                        30                       -3.82281927742682
5                        40                       -7.641630945552076
6                        -10                      11.456452092843847
6                        0                        7.637247929426797
6                        10                       3.8169587883976677
6                        20                       -0.0034463224253399377
6                        30                       -3.8237879423387136
6                        40                       -7.643339731693842
