% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 18 2017, 17:22
% Table:              Table 2 - Capacitance (emi.C11)
% x_sh (um)              Tb (degC)                Maxwell capacitance, 11 component (fF)
10                       0                        3.7422086660243865
10                       5                        3.9125428303003114
10                       10                       4.110913669634239
10                       15                       4.345135431009599
10                       20                       4.624038808788399
10                       25                       4.959116185739465
10                       30                       5.373369056850818
10                       35                       5.931737391329399
10                       40                       6.828179407777807
10                       45                       8.66722578043425
10                       50                       8.66722578043425
10                       55                       8.66722578043425
10                       60                       8.66722578043425
10                       65                       8.66722578043425
10                       70                       8.66722578043425
10                       75                       8.66722578043425
10                       80                       8.66722578043425
10                       85                       8.66722578043425
10                       90                       8.66722578043425
10                       95                       8.66722578043425
10                       100                      8.66722578043425
12                       0                        3.439953929565338
12                       5                        3.578168265379808
12                       10                       3.7358516801338983
12                       15                       3.9173632578550515
12                       20                       4.127143609683553
12                       25                       4.371265130434469
12                       30                       4.659874333538273
12                       35                       5.017081938040247
12                       40                       5.498178005109413
12                       45                       6.257487711767434
12                       50                       8.203786659160794
12                       55                       9.606378938846277
12                       60                       9.606378938846277
12                       65                       9.606378938846277
12                       70                       9.606378938846277
12                       75                       9.606378938846277
12                       80                       9.606378938846277
12                       85                       9.606378938846277
12                       90                       9.606378938846277
12                       95                       9.606378938846277
12                       100                      9.606378938846277
14                       0                        3.1672968842239615
14                       5                        3.282942579609094
14                       10                       3.4133323962107833
14                       15                       3.560322687819218
14                       20                       3.7267542306169577
14                       25                       3.9152372613242252
14                       30                       4.129935674871931
14                       35                       4.381221185167933
14                       40                       4.690801564234586
14                       45                       5.104488858689159
14                       50                       5.74483236623003
14                       55                       7.015708365310223
14                       60                       7.015708365310223
14                       65                       7.015708365310223
14                       70                       7.015708365310223
14                       75                       7.015708365310223
14                       80                       7.015708365310223
14                       85                       7.015708365310223
14                       90                       7.015708365310223
14                       95                       7.015708365310223
14                       100                      7.015708365310223
16                       0                        2.948255163441454
16                       5                        3.0474739608331856
16                       10                       3.158168249074134
16                       15                       3.2812128705298216
16                       20                       3.4182846353100937
16                       25                       3.5705539856311415
16                       30                       3.7397334689011794
16                       35                       3.9307656645151345
16                       40                       4.154151335852959
16                       45                       4.428825264006052
16                       50                       4.793101839658724
16                       55                       5.350996272001653
16                       60                       6.5454671826214845
16                       65                       7.204507343712228
16                       70                       7.204507343712228
16                       75                       7.204507343712228
16                       80                       7.204507343712228
16                       85                       7.204507343712228
16                       90                       7.204507343712228
16                       95                       7.204507343712228
16                       100                      7.204507343712228
18                       0                        2.7687789860815157
18                       5                        2.855197799770256
18                       10                       2.9507860612114953
18                       15                       3.05569920277687
18                       20                       3.1710305751136914
18                       25                       3.2973832122882225
18                       30                       3.4356062404058636
18                       35                       3.588188730037855
18                       40                       3.7607481729654615
18                       45                       3.962816664087146
18                       50                       4.211070500982242
18                       55                       4.538441473982047
18                       60                       5.034239510484452
18                       65                       6.063838797030148
18                       70                       7.058730930425857
18                       75                       7.058730930425857
18                       80                       7.058730930425857
18                       85                       7.058730930425857
18                       90                       7.058730930425857
18                       95                       7.058730930425857
18                       100                      7.058730930425857
20                       0                        2.614089968400988
20                       5                        2.6905753837275115
20                       10                       2.773995419384043
20                       15                       2.8649879902556377
20                       20                       2.964022480968636
20                       25                       3.0713561507052956
20                       30                       3.18731273404563
20                       35                       3.313156974060911
20                       40                       3.452111322416797
20                       45                       3.6095860313611117
20                       50                       3.794038688512673
20                       55                       4.020211765232128
20                       60                       4.3164480032035915
20                       65                       4.759193465819183
20                       70                       5.641925083637467
20                       75                       6.2824637144192845
20                       80                       6.2824637144192845
20                       85                       6.2824637144192845
20                       90                       6.2824637144192845
20                       95                       6.2824637144192845
20                       100                      6.2824637144192845
