% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 18 2017, 17:22
% Table:              Table 1 - Vertical displacement (w)
% x_sh (um)              Tb (degC)                Displacement field, Z component (µm), Point: 19
10                       0                        7.6175421075100544
10                       5                        5.71450463829904
10                       10                       3.8092303682571558
10                       15                       1.9018158599881465
10                       20                       -0.003397518442617641
10                       25                       -1.9084415525995158
10                       30                       -3.8133399502894565
10                       35                       -5.718356247443722
10                       40                       -7.623354846500081
10                       45                       NaN
10                       50                       NaN
10                       55                       NaN
10                       60                       NaN
10                       65                       NaN
10                       70                       NaN
10                       75                       NaN
10                       80                       NaN
10                       85                       NaN
10                       90                       NaN
10                       95                       NaN
10                       100                      NaN
12                       0                        7.626628240616033
12                       5                        5.721763772480581
12                       10                       3.8142690826879213
12                       15                       1.9042343725119786
12                       20                       -0.003173383731599766
12                       25                       -1.9103757163593889
12                       30                       -3.817302410469718
12                       35                       -5.723980452558665
12                       40                       -7.630350020610784
12                       45                       -9.534099057429229
12                       50                       -11.448913759400956
12                       55                       NaN
12                       60                       NaN
12                       65                       NaN
12                       70                       NaN
12                       75                       NaN
12                       80                       NaN
12                       85                       NaN
12                       90                       NaN
12                       95                       NaN
12                       100                      NaN
14                       0                        7.603742804445129
14                       5                        5.705506718272401
14                       10                       3.800341314006891
14                       15                       1.8985880035566347
14                       20                       -0.003049076982064442
14                       25                       -1.9044603329680123
14                       30                       -3.8055557732561582
14                       35                       -5.706297850883269
14                       40                       -7.606676234745101
14                       45                       -9.50638480764318
14                       50                       -11.402436897503135
14                       55                       NaN
14                       60                       NaN
14                       65                       NaN
14                       70                       NaN
14                       75                       NaN
14                       80                       NaN
14                       85                       NaN
14                       90                       NaN
14                       95                       NaN
14                       100                      NaN
16                       0                        7.603476694098357
16                       5                        5.7060340313885565
16                       10                       3.8002405420123333
16                       15                       1.8985738713003784
16                       20                       -0.0029688908784743897
16                       25                       -1.9042780589980286
16                       30                       -3.8052499390784593
16                       35                       -5.705815638195991
16                       40                       -7.605986124639695
16                       45                       -9.505495221678236
16                       50                       -11.400197391705394
16                       55                       -13.302166763077505
16                       60                       -15.201900026135059
16                       65                       NaN
16                       70                       NaN
16                       75                       NaN
16                       80                       NaN
16                       85                       NaN
16                       90                       NaN
16                       95                       NaN
16                       100                      NaN
18                       0                        7.603150755130007
18                       5                        5.7072494665272
18                       10                       3.800102952109236
18                       15                       1.898532903133613
18                       20                       -0.0029071862806264726
18                       25                       -1.904105736971237
18                       30                       -3.8049510563005673
18                       35                       -5.705350898172727
18                       40                       -7.605261569938393
18                       45                       -9.504712638168913
18                       50                       -11.403196661528249
18                       55                       -13.295343849886471
18                       60                       -15.197282241216946
18                       65                       -17.094755805940054
18                       70                       NaN
18                       75                       NaN
18                       80                       NaN
18                       85                       NaN
18                       90                       NaN
18                       95                       NaN
18                       100                      NaN
20                       0                        7.602729037879563
20                       5                        5.701374245216779
20                       10                       3.7999061863074375
20                       15                       1.8984571066140172
20                       20                       -0.002860366774806627
20                       25                       -1.9039298539278398
20                       30                       -3.8046376355008977
20                       35                       -5.704872822871613
20                       40                       -7.604568686579426
20                       45                       -9.503761409525572
20                       50                       -11.402307606909616
20                       55                       -13.29938011896084
20                       60                       -15.187918915781653
20                       65                       -17.090616384407333
20                       70                       -18.9859952022022
20                       75                       NaN
20                       80                       NaN
20                       85                       NaN
20                       90                       NaN
20                       95                       NaN
20                       100                      NaN
