% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 19 2017, 04:03
% Table:              Table 5 - Point Evaluation 1 (w)
% mesh_sz                Tb (degC)                Displacement field, Z component (µm), Point: 22
1                        10                       3.7628278740936763
1                        20                       -0.0025373483279662367
1                        30                       -3.767496392005797
2                        10                       3.7994034345658854
2                        20                       -0.0018784013300702012
2                        30                       -3.8049905543262534
3                        10                       3.8068011765597594
3                        20                       -0.0023911299282770057
3                        30                       -3.8124634168307017
4                        10                       3.81467313323741
4                        20                       -0.002491172541469385
4                        30                       -3.82026036473914
5                        10                       3.8158259586351573
5                        20                       -0.0025126453142900206
5                        30                       -3.821536510031211
