% Model:              multimorph.mph
% Version:            COMSOL 5.3.0.260
% Date:               Nov 17 2017, 11:33
% Table:              Table 1 - Vertical displacement (w)
% mesh_ly                Tb (degC)                Displacement field, Z component (µm), Point: 19
1                        -10                      11.29685264552134
1                        0                        7.530349823122923
1                        10                       3.7633373717613927
1                        20                       -0.0030982339448426496
1                        30                       -3.768004202853099
1                        40                       -7.5314950811672094
2                        -10                      11.404990497655945
2                        0                        7.603569794456156
2                        10                       3.8005010236298484
2                        20                       -0.0025939525883693867
2                        30                       -3.8057112717881934
2                        40                       -7.608188232859537
3                        -10                      11.427034304888894
3                        0                        7.617763895612233
3                        10                       3.8073264202022767
3                        20                       -0.003186541156304708
3                        30                       -3.8133408065291032
3                        40                       -7.623071893297679
4                        -10                      11.450577501610342
4                        0                        7.6333680267273465
4                        10                       3.815062093947704
4                        20                       -0.003342256472270684
4                        30                       -3.823504223012551
4                        40                       -7.637539608978362
5                        -10                      11.45399717384645
5                        0                        7.6356244328035805
5                        10                       3.816164647214508
5                        20                       -0.0034028145288872
5                        30                       -3.82281927717227
5                        40                       -7.641630945753794
